location,arr,dep
Bristol Temple Meads [BRI],,0538
Bristol East Jn,,0539
Dr Day's Jn,,0540
Lawrence Hill [LWH],,0540½
Stapleton Road [SRD],,0541
Narroways Hill Jn,,0541½
Horfield Junction,,0543
Filton Abbey Wood [FIT],,0544
Filton Jn,,0544½
Bristol Parkway [BPW],,0545½
Westerleigh Jn,,0549
Chipping Sodbury,,0550½
Badminton,,0552½
Hullavington,,0555½
Little Somerford,,0558
Wootton Bassett Jn,,0602
Rushey Platt,,0606
Swindon [SWI],0607½,0611
Highworth Jn,,0612
Swindon Stratton Green,,0612½
Swindon South Marston Jn,,0613
Bourton,,0614
Uffington (Oxfordshire),,0617½
Challow,,0619
Wantage Road,,0620½
Steventon,,0623
Milton Junction,,0624
Foxhall Jn [XJF],,0625
Didcot West End,,0625½
Didcot Parkway [DID],0626,0628
Didcot East Jn,,0628½
Moreton Cutting,,0629½
Cholsey [CHO],,0631½
Goring & Streatley [GOR],,0633½
Pangbourne [PAN],,0635½
Tilehurst [TLH],,0637½
Tilehurst East Jn.,,0638
Reading High Level Jn,,0639
Reading Main Line West,,0639½
Reading [RDG],0640½,0642½
Reading Main Line East,,0643
Kennet Bridge Jn,,0643½
Twyford West,,0646
Twyford [TWY],,0646½
Ruscombe,,0647
Maidenhead West,,0650
Maidenhead [MAI],,0650
Maidenhead East,,0650½
Taplow [TAP],,0651
Burnham [BNM],,0651½
Slough West,,0652½
Slough [SLO],,0653
Dolphin Jn,,0653½
Langley [LNY],,0654
Iver [IVR],,0655
West Drayton Jcn,,0655½
West Drayton [WDT],,0655½
West Drayton East,,0655½
Stockley Junction,,0656
Heathrow Airport Jn,,0656½
Hayes & Harlington [HAY],,0656½
Southall West Jn,,0657
Southall [STL],,0657½
Southall East Jn,,0657½
Hanwell [HAN],,0658
West Ealing Junction,,0658½
West Ealing [WEA],,0658½
Ealing Broadway [EAL],,0658½
Acton West,,0659
Acton Main Line [AML],,0700
Friars Jn,,0700½
Old Oak Common West,,0701
Old Oak Common East,,0701½
Ladbroke Grove,,0702½
Portobello Jn (London),,0703
Royal Oak Junction,,0704
London Paddington [PAD],0705,
